Name,Category,Address/Details,City,Rating
Dr ZARTAJ ZAKRIA (ZAKRIA MEMORIAL CLINIC),Hepatobiliary Surgeon,Medical clinic Gujranwala Rd,Hafizabad,5.0
Dr Sultan Sikandar Rana Clinic,General Physician,"Doctor 3PC3+X5M, Gujranwala-Hafizabad Rd, City, Hafizabad, Punjab",Hafizabad,4.4
Dr Khalid Farooqi Memorial Hospital,Gynecology and Pediatrics,Hospital 3MFP+FXF,Hafizabad,4.6
Dr khizar sandhu orthopaedic surgeon,Orthopedic surgeon,Orthopedic surgeon Zam Zam Hospital,Hafizabad,4.2
Dr Ijaz Qadeer Clinic,Orthopedic surgeon,"Doctor 3MGM+6FV, near Shabir Shah",Hafizabad,5.0
Dr.Nomaan Akram,Dental Surgeon,Dental clinic near Government High School 01,Hafizabad,5.0
Dr.Amjad Hussain,Dental Surgeon,Doctor 3MFQ+38G,Hafizabad,5.0
Dr Sidra Maqsood,Dermatologist,"Dermatologist Town, Main Street Model, Gujranwala Rd",Hafizabad,5.0
Dr Uzair Hassan ENT Specialist,ENT Specialist,"Doctor Emaan Medical Tower, Jalalpur Rd",Hafizabad,5.0
Dr Sultan Sikandar Rana Clinic,General Physician,"Doctor 3PC3+X5M, Gujranwala-Hafizabad Rd, City, Hafizabad, Punjab",Hafizabad,4.4
Dr Khalid Farooqi Memorial Hospital,Gynecology and Pediatrics,Hospital 3MFP+FXF,Hafizabad,4.6
Dr ZARTAJ ZAKRIA (ZAKRIA MEMORIAL CLINIC),Hepatobiliary Surgeon,Medical clinic Gujranwala Rd,Hafizabad,5.0
Dr khizar sandhu,Orthopedic surgeon ,Orthopedic surgeon Zam Zam Hospital,Hafizabad,4.2
Dr Ijaz Qadeer Clinic,Orthopedic surgeon ,"Doctor 3MGM+6FV, near Shabir Shah",Hafizabad,5.0
Dr zahoor clinic,Orthopedic surgeon ,Urology clinic 3M3H+Q86,Hafizabad,4.5
Dr Hassan Clinic,Orthopedic surgeon ,Medical clinic 3MFH+49M,Hafizabad,2.8
Dr M usman (med plus clinic),med plus clinic,"Health consultant 3PF7+P56, Gujranwala Rd",Hafizabad,4.8
Dr.Amjad Hussain,med plus clinic,Doctor 3MFQ+38G,Hafizabad,5.0
Dr Mohammad Yasin Clinic,med plus clinic,"Medical clinic Kasoke Rd, Hafizabad, Punjab",Hafizabad,3.4
Dr Amanat Ali Mohsin,med plus clinic,Doctor 3MGR+G7X,Hafizabad,5.0
Dr Rukhsana Shahbaz Hospital (Gynaecologist),Gynaecologist,"Medical Center 3M9J+VRR, Circular Rd",Hafizabad,4.0
Dr Zameer,Gynaecologist,"Medical clinic 3M6R+C87, Kassoki Rd",Hafizabad,5.0
Dr Uzair Hassan ENT Specialist,ENT Specialist,"Doctor Emaan Medical Tower, Jalalpur Rd",Hafizabad,5.0
Dr Mehmood Clinic,ENT Specialist,Free clinic 3M8M+C6C,Hafizabad,2.0
Dr.Nomaan Akram,Dental Surgeon,Dental clinic near Government High School 01,Hafizabad,5.0
Dr Sidra Maqsood (Dermatologist),Dermatologist,"Dermatologist Town, Main Street Model, Gujranwala Rd",Hafizabad,5.0
Dr Asmaa Qamar Zaman (Women health physiotherapist),Women health physiotherapist,"Health consultant Girja Chowk, Qabarastan Road, near National Bank city branch",Hafizabad,5.0
Dr Tanvir Abbas Eye Specialist,Ophthalmologist,"Hospital Sarghodha road, , railway phatak, near baironi",Hafizabad,5.0
Dr Ahtisham Khalid,Physical therapist,"Physical therapist Akram Clinic, Railway Rd",Hafizabad,5.0
Dr Zameer ul Hasan Heart Hospital,Cardiologist,"Hospital 3MGJ+PCG mohalla mian da kot, Dhaab Wala Road",Hafizabad,4.5
Dr Khalid Farooqi Memorial Hospital,Gynecology and Pediatrics,Hospital 3MFP+FXF,Hafizabad,4.6
Dr ZARTAJ ZAKRIA (ZAKRIA MEMORIAL CLINIC),Hepatobiliary Surgeon,Medical clinic Gujranwala Rd,Hafizabad,5.0
Dr Sultan Sikandar Rana Clinic,General Physician,"Doctor 3PC3+X5M, Gujranwala-Hafizabad Rd, City, Hafizabad, Punjab",Hafizabad,4.4
Dr Khalid Farooqi Memorial Hospital,Gynecology and Pediatrics,Hospital 3MFP+FXF,Hafizabad,4.6
Dr ZARTAJ ZAKRIA (ZAKRIA MEMORIAL CLINIC),Hepatobiliary Surgeon,Medical clinic Gujranwala Rd,Hafizabad,5.0
Dr M usman (med plus clinic),Health consultant,"Health consultant 3PF7+P56, Gujranwala Rd",Hafizabad,4.8
Dr.Amjad Hussain,Health consultant,Doctor 3MFQ+38G,Hafizabad,5.0
Dr Ijaz Qadeer Clinic,Health consultant,"Doctor 3MGM+6FV, near Shabir Shah",Hafizabad,5.0
Dr Tanvir Abbas Eye Specialist,Ophthalmologist,"Hospital Sarghodha road, , railway phatak, near baironi",Hafizabad,5.0
Dr Mohammad Aslam Khokhar Clinic,Ophthalmologist,"Doctor 3M8Q+WF7, Kasoke Rd",Hafizabad,3.8
Dr zahoor clinic,Urology,Urology clinic 3M3H+Q86,Hafizabad,4.5
Dr ZARTAJ ZAKRIA (ZAKRIA MEMORIAL CLINIC),Hepatobiliary Surgeon,Medical clinic Gujranwala Rd,Hafizabad,5.0
Dr Hassan Clinic,unspecified,Medical clinic 3MFH+49M,Hafizabad,2.8
Dr Khalid Farooqi Memorial Hospital,Gynecology and Pediatrics,Hospital 3MFP+FXF,Hafizabad,4.6
Dr Sultan Sikandar Rana Clinic,General Physician,"Doctor 3PC3+X5M, Gujranwala-Hafizabad Rd, City, Hafizabad, Punjab",Hafizabad,4.4
Dr Mehmood Clinic,unspecified,Free clinic 3M8M+C6C,Hafizabad,2.0
Dr Ijaz Qadeer Clinic,unspecified,"Medical clinic 3MGM+6FV, near Shabir Shah",Hafizabad,5.0
Dr Zameer,unspecified,"Medical clinic 3M6R+C87, Kassoki Rd",Hafizabad,5.0
Dr Mohammad Yasin Clinic,unspecified,"Medical clinic Kasoke Rd, Hafizabad, Punjab",Hafizabad,3.4
Dr.Nomaan Akram Dental Surgeon,Dental Surgeon,Dental clinic near Government High School 01,Hafizabad,5.0
Dr M usman (med plus clinic),Health consultant,"Health consultant 3PF7+P56, Gujranwala Rd",Hafizabad,4.8
Dr ZARTAJ ZAKRIA (ZAKRIA MEMORIAL CLINIC),Hepatobiliary Surgeon,Medical clinic Gujranwala Rd,Hafizabad,5.0
Dr Khalid Farooqi Memorial Hospital,Gynecology and Pediatrics,Hospital 3MFP+FXF,Hafizabad,4.6
Dr Sultan Sikandar Rana Clinic,General Physician,"Doctor 3PC3+X5M, Gujranwala-Hafizabad Rd, City, Hafizabad, Punjab",Hafizabad,4.4
Dr M usman (med plus clinic),med plus clinic,"Health consultant 3PF7+P56, Gujranwala Rd",Hafizabad,4.8
Dr Ijaz Qadeer Clinic,med plus clinic,"Medical clinic 3MGM+6FV, near Shabir Shah",Hafizabad,5.0
Dr Uzair Hassan ENT Specialist,ENT Specialist,"Doctor Emaan Medical Tower, Jalalpur Rd",Hafizabad,5.0
