Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Child,Female,Severe,Endocrinologist
Flu,Common Illnesses,"Body aches, Fever, Chills",Adult,Any,Moderate,General Physician
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Teen,Any,Severe,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Sweating, Nausea",Elderly,Any,Moderate,Cardiologist
PCOS,Chronic Disorder,"Hair thinning, Acne, Weight gain",Adult,Male,Moderate,Gynecologist
Flu,Common Illnesses,"Fever, Cough, Sore throat",Child,Any,Moderate,General Physician
Diabetes,Chronic Illness,"Increased thirst, Fatigue",Elderly,Any,Severe,Endocrinologist
Eczema,Dermatological,"Dryness, Red patches, Swelling",Adult,Female,Mild,Dermatologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Sweating, Chest pain",Adult,Female,Mild,Cardiologist
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue, Night sweats",Elderly,Male,Severe,Infectious Disease Specialist
Flu,Common Illnesses,"Fever, Chills, Body aches",Adult,Male,Moderate,General Physician
Flu,Common Illnesses,"Fever, Body aches, Sore throat, Chills",Adult,Any,Moderate,General Physician
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough, Wheezing",Adult,Any,Moderate,Pulmonologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Teen,Any,Severe,Surgeon
Tuberculosis,Rare Diseases,"Fatigue, Cough, Night sweats, Weight loss",Adult,Female,Mild,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Teen,Female,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Chills, Body aches, Sore throat",Child,Female,Severe,General Physician
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Child,Male,Mild,Endocrinologist
Eczema,Dermatological,"Itchy skin, Dryness",Adult,Female,Severe,Dermatologist
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Child,Female,Moderate,Dermatologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Blurred vision, Fatigue",Adult,Any,Mild,Endocrinologist
Asthma,Chronic Illness,"Cough, Chest tightness, Shortness of breath, Wheezing",Adult,Female,Severe,Pulmonologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Blurred vision, Fatigue",Adult,Any,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Sweating, Nausea, Shortness of breath, Chest pain",Elderly,Any,Moderate,Cardiologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea",Child,Male,Moderate,Surgeon
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness, Wheezing",Adult,Female,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination, Increased thirst",Child,Female,Moderate,Endocrinologist
Asthma,Chronic Illness,"Shortness of breath, Cough",Elderly,Any,Moderate,Pulmonologist
Eczema,Dermatological,"Dryness, Swelling",Teen,Female,Moderate,Dermatologist
Flu,Common Illnesses,"Sore throat, Chills",Child,Male,Mild,General Physician
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Teen,Female,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Trouble walking, Numbness",Teen,Any,Moderate,Neurologist
PCOS,Chronic Disorder,"Acne, Irregular periods, Weight gain",Child,Any,Moderate,Gynecologist
PCOS,Chronic Disorder,"Acne, Weight gain",Child,Any,Severe,Gynecologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Child,Male,Severe,Endocrinologist
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath, Cough",Elderly,Any,Moderate,Pulmonologist
Tuberculosis,Rare Diseases,"Weight loss, Cough",Teen,Any,Mild,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Poor judgment",Teen,Female,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Poor judgment",Child,Male,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Poor judgment",Teen,Any,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Poor judgment",Adult,Female,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Cough, Fatigue, Night sweats, Weight loss",Adult,Male,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Trouble walking, Vision problems",Elderly,Male,Mild,Neurologist
Eczema,Dermatological,"Red patches, Itchy skin, Swelling",Adult,Any,Moderate,Dermatologist
Eczema,Dermatological,"Swelling, Itchy skin",Elderly,Male,Moderate,Dermatologist
Flu,Common Illnesses,"Sore throat, Body aches",Elderly,Male,Mild,General Physician
Tuberculosis,Rare Diseases,"Cough, Weight loss, Night sweats, Fatigue",Teen,Male,Mild,Infectious Disease Specialist
