Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Child,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Body aches, Fever, Chills",Adult,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Teen,Any,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Sweating, Nausea",Elderly,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
PCOS,Chronic Disorder,"Hair thinning, Acne, Weight gain",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Flu,Common Illnesses,"Fever, Cough, Sore throat",Child,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Increased thirst, Fatigue",Elderly,Any,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Dryness, Red patches, Swelling",Adult,Female,Mild,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Sweating, Chest pain",Adult,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue, Night sweats",Elderly,Male,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Fever, Chills, Body aches",Adult,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Flu,Common Illnesses,"Fever, Body aches, Sore throat, Chills",Adult,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough, Wheezing",Adult,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
